# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 2
12 0 4
13 0 4
14 0 6
15 0 8
16 0 12
17 0 14
18 0 16
19 0 20
20 0 23
21 0 24
22 0 25
23 0 28
24 0 30
25 0 32
26 0 34
27 0 37
28 0 39
29 0 42
30 0 44
31 0 46
32 0 48
33 0 52
34 0 53
35 0 56
36 0 58
37 0 61
38 0 63
39 0 65
40 0 68
41 0 70
42 0 71
43 0 73
44 0 75
45 0 79
46 0 81
47 0 82
48 0 84
49 0 85
50 0 86
51 0 88
52 0 90
53 0 92
54 0 94
55 0 96
56 0 98
57 0 100
58 0 104
59 0 105
60 0 107
61 0 109
62 0 111
63 0 112
64 0 115
65 0 117
66 0 119
67 0 121
68 0 123
69 0 126
70 0 130
71 0 133
72 0 136
73 0 136
74 0 140
75 0 142
76 0 144
77 0 145
78 0 146
79 0 148
80 0 149
81 0 150
82 0 153
83 0 154
84 0 154
85 0 156
86 0 159
87 0 161
88 0 164
89 0 167
90 0 168
91 0 173
92 0 176
93 0 177
94 0 181
95 0 182
96 0 185
97 0 187
98 0 188
99 0 191
100 0 192
101 0 193
102 0 196
103 0 197
104 0 200
105 0 202
106 0 203
107 0 205
108 0 208
109 0 213
110 0 214
111 0 216
112 0 218
113 0 221
114 0 223
115 0 225
116 0 227
117 0 231
118 0 232
119 0 235
120 0 239
121 0 243
122 0 244
123 0 246
124 0 248
125 0 249
126 0 252
127 0 254
128 0 256
129 0 258
130 0 261
131 0 263
132 0 265
133 0 267
134 0 269
135 0 272
136 0 275
137 0 278
138 0 278
139 0 280
140 0 281
141 0 284
142 0 286
143 0 286
144 0 289
145 0 290
146 0 293
147 0 294
148 0 296
149 0 298
150 0 299
151 0 303
152 0 305
153 0 307
154 0 310
155 0 311
156 0 315
157 0 318
158 0 320
159 0 323
160 0 324
161 0 326
162 0 328
163 0 329
164 0 331
165 0 335
166 0 338
167 0 340
168 0 342
169 0 344
170 0 347
171 0 350
172 0 351
173 0 353
174 0 358
175 0 359
176 0 362
177 0 365
178 0 367
179 0 371
180 0 373
181 0 378
182 0 382
183 0 382
184 0 382
185 0 386
186 0 389
187 0 391
188 0 392
189 0 395
190 0 396
191 0 398
192 0 400
193 0 400
194 0 402
195 0 404
196 0 404
197 0 407
198 0 409
199 0 410
200 0 413
